datetime,hora,dia_semana,mes,es_fin_de_semana,es_agosto,es_festivo,HDD,CDD,humedad_relativa,velocidad_viento,radiacion_solar,demanda_lag_168h,prediccion_demanda_mw,modelo,fecha_corte_entrenamiento,train_dias,order,seasonal_order,meteo_futura_metodo
2026-03-24 06:00:00,6,1,3,0,0,0,12.49273740732137,0.0,82.04914772727273,10.088238636363636,0.0,23524.222,22123.80880812353,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 07:00:00,7,1,3,0,0,0,12.686143288067631,0.0,82.11926136363637,10.298920454545454,0.0,26692.801,24778.948528907913,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 08:00:00,8,1,3,0,0,0,12.81617018822007,0.0,82.2765340909091,10.49625,0.15892045454545456,27768.764,25690.057515305387,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 09:00:00,9,1,3,0,0,0,12.529889684769733,0.0,80.36738636363636,10.892954545454545,25.078011363636367,26727.646,24760.582429745347,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 10:00:00,10,1,3,0,0,0,11.446946186509093,0.0,74.85414772727273,10.984943181818181,133.4318181818182,25512.187,23626.493641508187,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 11:00:00,11,1,3,0,0,0,10.234758088957356,0.0,68.63238636363636,11.139943181818182,277.3314772727273,24531.065,22709.870318584013,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 12:00:00,12,1,3,0,0,0,9.183408460095539,0.0,63.157045454545454,12.183125,411.9582386363636,23981.961,22207.15081440907,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 13:00:00,13,1,3,0,0,0,8.342058321258381,0.0,59.57357954545455,13.249431818181819,512.4410795454546,23975.449,22148.994436261768,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 14:00:00,14,1,3,0,0,0,7.827272871276813,0.0,57.66465909090909,14.25534090909091,564.2425568181818,23787.861,21949.48136148489,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 15:00:00,15,1,3,0,0,0,7.357401781791256,0.0,56.42272727272727,15.109772727272729,564.8672727272727,23637.685,21858.124693661084,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 16:00:00,16,1,3,0,0,0,7.16972538092707,0.0,55.90710227272727,15.772784090909092,522.8768181818182,23736.628,21950.691642793005,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 17:00:00,17,1,3,0,0,0,7.200353862682388,0.0,56.891818181818174,15.839829545454545,445.4371590909091,24751.16,22786.441695164045,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
