datetime,mes,dia_semana,hora,es_festivo,HDD,CDD,humedad_relativa,velocidad_viento,radiacion_solar,prediccion_demanda_mw,modelo,fecha_corte_entrenamiento,lags,meteo_futura_metodo,demanda_lag_168h
2026-03-25 03:00:00,3,2,3,0,11.749505978295979,0.0,81.77451612903226,8.40741935483871,0.0,19615.3561114058,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,19892.45
2026-03-25 04:00:00,3,2,4,0,12.086074054345715,0.0,82.67709677419354,8.276129032258064,0.0,19507.970951975913,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,19904.857
2026-03-25 05:00:00,3,2,5,0,12.35949632465655,0.0,83.46290322580644,8.40258064516129,0.0,20267.351756925706,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,20683.468
2026-03-25 06:00:00,3,2,6,0,12.65206592823216,0.0,83.83870967741936,8.413548387096775,0.0,22476.596640987955,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23563.592
2026-03-25 07:00:00,3,2,7,0,12.873051292019708,0.0,83.68806451612903,8.869677419354838,0.0,24982.506822597883,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,26593.676
2026-03-25 08:00:00,3,2,8,0,12.89559235457114,0.0,83.22548387096774,9.060322580645161,0.21483870967741936,26555.818249142023,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,27855.904
2026-03-25 09:00:00,3,2,9,0,12.732774384485419,0.0,82.3216129032258,9.671612903225807,30.021290322580644,26886.44321344634,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,27402.777
2026-03-25 10:00:00,3,2,10,0,11.75735072059271,0.0,78.54806451612903,8.782903225806452,149.6993548387097,26375.72677757603,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,26475.181
2026-03-25 11:00:00,3,2,11,0,10.559998974554913,0.0,71.9132258064516,8.333548387096775,299.6554838709677,25842.9281450696,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25661.209
2026-03-25 12:00:00,3,2,12,0,9.490847592866709,0.0,64.95612903225806,9.163548387096775,445.46258064516127,25534.72879490186,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25151.679
2026-03-25 13:00:00,3,2,13,0,8.663455404695084,0.0,61.07548387096774,9.651290322580644,542.3864516129032,25526.66345764812,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25265.865
2026-03-25 14:00:00,3,2,14,0,8.209865719458145,0.0,59.763225806451615,10.413225806451614,603.9790322580644,25177.62253721258,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25196.763
2026-03-25 15:00:00,3,2,15,0,7.670539926867481,0.0,58.59193548387096,10.73741935483871,580.086129032258,24866.5666600781,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,24856.264
2026-03-25 16:00:00,3,2,16,0,7.475771867742363,0.0,58.17193548387097,11.256774193548386,538.7412903225807,24831.56443737873,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25125.433
2026-03-25 17:00:00,3,2,17,0,7.4410044166490845,0.0,58.12870967741936,11.046129032258065,459.5264516129032,25238.905616691132,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,25750.161
2026-03-25 18:00:00,3,2,18,0,7.650941359070724,0.0,59.67741935483871,10.75258064516129,334.2367741935484,26057.371392251047,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,26473.791
2026-03-25 19:00:00,3,2,19,0,8.097818601445011,0.0,63.67741935483871,9.893548387096773,196.26870967741937,27563.12151420246,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,28395.681
2026-03-25 20:00:00,3,2,20,0,8.826932914741125,0.0,70.93516129032257,8.595161290322581,62.097419354838706,28764.06453627981,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,29771.099
2026-03-25 21:00:00,3,2,21,0,9.60371601596892,0.0,74.83838709677418,8.153225806451612,2.011290322580645,28276.70275340786,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,28949.791
2026-03-25 22:00:00,3,2,22,0,10.129871545285168,0.0,77.90290322580644,7.803225806451613,0.0,26254.019269777767,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,26453.143
2026-03-25 23:00:00,3,2,23,0,10.636915159256095,0.0,79.40903225806451,7.913870967741936,0.0,23958.36376436592,SARIMAX armónico + lag 168h,2026-03-22,168,perfil_historico_medio_mes_hora,23904.441
