fecha,t_nac_media,t_nac_max,t_nac_min,sensacion_nac,ciudades_usadas,HDD,CDD,año,mes,fuente
2022-04-05,4.884485456286443,7.30473984701799,2.5018194937162774,5.143286048443768,3,13.115514543713557,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-06,6.9622428595730375,11.4059884647092,3.5475246141071373,9.68569728510766,3,11.037757140426962,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-07,9.344250863821033,14.386564211098554,4.94199136144531,12.497581553635875,3,8.655749136178967,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-08,9.37829407886294,13.077265155579614,5.540693603924943,10.58198563822204,3,8.62170592113706,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-09,9.660597507493794,12.877229009510469,7.056630232484997,11.960228683289039,3,8.339402492506206,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-10,9.872087836669813,13.419302173103054,6.54365611807517,12.204785135781348,3,8.127912163330187,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-11,9.56062320230986,13.389906907514959,5.701371771446649,11.487454432880916,3,8.43937679769014,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-12,8.599750541617109,11.441684865965692,6.07009939537693,10.094413630178765,3,9.400249458382891,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-13,9.007047760332622,12.251657439030915,5.559048598499015,10.201343861263375,3,8.992952239667378,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-14,10.700561928466826,14.729389612384201,7.054924876094397,13.093014826660717,3,7.299438071533174,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-15,11.254695769245515,16.13367458597312,6.450061203823655,16.27789295391554,3,6.745304230754485,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-16,12.215213931009561,17.80468114552621,7.53611953065437,17.715582451031775,3,5.784786068990439,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-17,11.898254680910215,16.656875633187532,7.470540901991925,16.601521899880552,3,6.101745319089785,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-18,11.900340621317525,15.66814930978111,7.788781610018694,15.226520608539563,3,6.099659378682475,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-19,9.958294070827929,12.752168987981232,6.885907021841684,11.761929184237513,3,8.041705929172071,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-20,7.344059716657977,10.014371993901657,4.832786481989983,7.326062389102505,3,10.655940283342023,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-21,8.3151833577942,11.821438699641433,5.171642771692979,10.342629622512906,3,9.6848166422058,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-22,7.92273289879996,10.156350654290913,5.715605924741336,8.206751670191741,3,10.07726710120004,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-23,7.556541198828174,9.782660728334683,5.621190429292251,7.045790693253828,3,10.443458801171825,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
2022-04-24,9.02866855627159,13.357290767749856,5.293199763908431,12.272623444737608,3,8.97133144372841,0.0,2022,4,Open-Meteo (ERA5) + INE Padrón
